TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
18585,tt0806165,movie,The Ramen Girl,2008-02-08T00:00:00Z,,,6.478,,2025-03-04T01:53:36Z
603,tt0133093,movie,The Matrix,1999-03-31T00:00:00Z,,,8.238,,2025-03-04T02:05:15Z
81393,tt1846442,movie,12 Dates of Christmas,2011-12-11T00:00:00Z,,,6.116,,2025-03-04T02:36:45Z
16996,tt0974661,movie,17 Again,2009-03-11T00:00:00Z,,,6.313,,2025-03-04T02:39:20Z
38965,tt0094593,movie,18 Again!,1988-04-08T00:00:00Z,,,5.633,,2025-03-04T02:40:02Z
64688,tt1232829,movie,21 Jump Street,2012-03-14T00:00:00Z,,,6.884,,2025-03-04T02:40:36Z
20453,tt1187043,movie,3 Idiots,2009-12-23T00:00:00Z,,,7.998,,2025-03-04T02:41:03Z
1824,tt0343660,movie,50 First Dates,2004-02-13T00:00:00Z,,,6.869,,2025-03-04T02:41:20Z
11247,tt0356470,movie,A Cinderella Story,2004-07-16T00:00:00Z,,,6.589,,2025-03-04T02:45:10Z
72358,tt0763831,movie,A Thousand Words,2012-03-07T00:00:00Z,,,6.097,,2025-03-04T10:24:13Z
644,tt0212720,movie,A.I. Artificial Intelligence,2001-06-29T00:00:00Z,,,7.053,,2025-03-04T10:24:28Z
3049,tt0109040,movie,Ace Ventura: Pet Detective,1994-02-04T00:00:00Z,,,6.573,,2025-03-04T10:25:31Z
964980,tt16419074,movie,Air,2023-04-05T00:00:00Z,,,7.292,,2025-03-04T10:27:54Z
348,tt0078748,movie,Alien,1979-05-25T00:00:00Z,,,8.166,,2025-03-04T10:28:57Z
8078,tt0118583,movie,Alien Resurrection,1997-11-12T00:00:00Z,,,6.161,,2025-03-04T10:29:15Z
679,tt0090605,movie,Aliens,1986-07-18T00:00:00Z,,,7.956,,2025-03-04T10:29:28Z
8077,tt0103644,movie,Alien³,1992-05-22T00:00:00Z,,,6.377,,2025-03-04T10:30:09Z
399579,tt0437086,movie,Alita: Battle Angel,2019-01-31T00:00:00Z,,,7.244,,2025-03-04T10:30:29Z
1433,tt0397306,tv,American Dad!,2005-02-06T00:00:00Z,,,7.001,,2025-03-04T10:30:53Z
261392,tt3316948,movie,American Ultra,2015-08-19T00:00:00Z,,,6.091,,2025-03-04T10:31:10Z
9989,tt0218817,movie,Antitrust,2001-01-11T00:00:00Z,,,6.032,,2025-03-04T10:31:21Z
329865,tt2543164,movie,Arrival,2016-11-10T00:00:00Z,,,7.624,,2025-03-04T10:31:37Z
19995,tt0499549,movie,Avatar,2009-12-16T00:00:00Z,,,7.6,,2025-03-04T10:31:50Z
